"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"MYO1B",2.469293,2.507424,451.297901,1.579851,1.141636,159.694466,1.408055,1.553079,4.952709,3.376082
"SLC39A10",29.08119,65.23477,546.03137,47.42568,60.84831,45.15133,32.28871,17.72512,35.53154,67.5298
"STK17B",148.42676,279.517733,17.976322,122.070911,85.416833,33.072922,209.588034,8.843121,296.457907,19.318366
"SPATS2L",10.62162,77.0713,81.78821,93.64856,119.84301,363.6557,14.339,125.24434,33.2144,139.50461
"BMPR2",18.45208,45.44427,389.36682,53.86575,64.44846,69.1744,11.75737,30.24609,14.79215,65.79024
"MAP2",8.7842,2.72032,29.465802,7.852528,6.512821,53.777094,4.189895,53.027569,10.34102,367.461566
"FN1",55.96958,300.0262,688.7991,1147.11913,492.56101,4572.9335,41.98045,53.82756,32.66622,155.1216
"IGFBP2",14.52307,23.34819,158.62367,69.07754,19.93941,1751.1079,61.01457,183.302,48.03087,2069.1742
"IGFBP5",12.91649,17.06898,145.31262,34.43523,10.4875,3073.95738,11.87615,104.42679,24.0267,1043.33675
"SLC11A1",42.37145,155.35687,31.22151,504.20514,561.35972,20.94513,16.12497,18.79246,12.74424,11.04269
"ITM2C",360.16531,33.22925,33.50283,16.4773,32.86471,225.65993,175.83048,52.17785,31.724,230.90444
"EFHD1",0.4016433,0.3379637,17.8198169,2.4209975,0.7908906,36.7794682,0.8506506,639.7775319,0.403494,4.0074487
"ARL4C",83.81859,252.32963,28.33173,219.0958,142.33865,175.38407,278.46178,49.3239,274.55433,214.09708
"LRRFIP1",99.78282,368.37624,161.58699,337.98282,237.81575,191.91961,137.57045,22.67567,190.73157,61.20862
"RAMP1",5.666383,52.062488,18.312723,31.363779,74.645305,161.191288,6.139838,42.421774,7.554592,351.283036
"HDLBP",167.83583,77.70669,137.06022,105.67409,89.21781,226.43122,27.79698,107.11234,30.25022,103.21557
"SEPTIN2",62.21819,81.11112,280.40959,110.5423,130.20558,252.16446,22.29798,84.0618,23.20025,155.02325
"HYAL2",6.01409,12.538195,544.265563,17.212134,24.16455,38.723825,2.565672,13.39827,4.299528,55.71979
"ARF4",185.69907,128.00527,145.46994,138.54181,125.94705,364.63646,54.21203,90.70701,79.96208,210.35097
"PTPRG",2.192046,1.864968,359.80434,3.324948,11.101457,76.92625,1.153024,5.275018,1.554699,42.531575
"CLDND1",48.5618,50.81441,71.70494,45.19779,43.17285,72.05724,97.91345,1409.94555,59.91595,101.07562
"ZBTB20",109.40061,44.03092,243.48707,52.82255,54.17326,210.39585,67.68304,395.32603,79.60107,381.76911
"GAP43",11.963721,11.177468,36.665546,27.329186,13.407169,441.825,9.306582,92.468688,18.826009,922.234041
"FSTL1",1.994216,2.249359,340.225403,2.275587,1.488616,490.898113,1.303413,6.627086,1.693757,34.975345
"HCLS1",119.748729,411.966946,56.022308,313.991113,359.496759,11.929819,127.784162,9.643051,142.287234,5.530955
"CD86",27.667591,213.880847,5.499728,140.381779,165.441438,2.83737,4.99481,3.268288,4.31822,2.413732
"MYLK",1.755709,5.695873,50.567314,1.640133,1.191686,117.309164,1.120761,281.586709,1.24714,13.651321
"HEG1",3.492722,7.784241,294.402023,7.753745,10.583952,29.570622,9.622621,48.984404,6.452886,15.749675
"TF",1.064905,1.643201,5.031477,4.228518,2.012565,11.226456,1.438672,2112.124453,1.619443,18.488831
"RBP1",9.546814,4.297609,226.630658,20.509678,8.296155,353.316289,6.379079,139.305029,11.69689,449.021168
"PLSCR1",22.97951,229.44199,84.36905,184.35797,164.14981,78.89695,30.03305,15.30644,27.84565,42.74041
"TM4SF18",0.1774113,0,560.8982301,0.498366,0.2749365,8.1541136,0.1877439,0.7901268,0.2923563,0.3795229
"TM4SF1",1.255482,1.96128,549.565048,4.206256,1.957181,97.550312,2.473913,23.000025,3.090155,104.625022
"WWTR1",3.16926,1.580122,336.743713,4.251368,3.177418,183.109405,1.820126,26.32043,3.571153,72.363567
"MBNL1",164.32055,344.08093,288.56284,272.38581,254.21913,126.69625,257.23764,109.09297,291.73792,74.88099
"SSR3",553.22739,254.45945,203.24568,229.67087,230.8569,331.87265,64.22385,117.21499,87.32764,145.15526
"CCNL1",276.4307,346.4811,282.7636,350.1479,427.2629,215.7904,269.9308,153.7105,267.7302,152.8733
"MFSD1",38.63829,170.99061,56.2926,294.87223,273.29512,44.17748,18.23205,33.40795,18.97529,31.98094
"CLDN11",0.9214344,1.7991212,7.3020165,3.9178838,2.4617991,273.9283561,1.0237583,1348.7294195,1.1483238,20.413097
"RPL22L1",262.5901,190.8789,120.2025,181.441,192.7342,443.9484,111.3064,89.2615,130.1926,241.5775
"PEX5L",0.1088628,0.4975336,1.8845769,0.5200029,0.3110551,0.4847011,0.2832861,280.9561208,0.2245195,1.1461162
"SOX2",12.780677,3.917459,24.396632,14.819356,7.065871,134.240248,7.808318,183.876183,16.58112,673.665306
"EIF4A2",288.7032,275.4564,232.5802,258.0761,291.9123,289.2698,271.4004,228.1846,294.0614,261.7557
"ST6GAL1",233.188211,68.227792,74.89013,98.534472,260.737905,9.6234,18.512936,6.987176,25.170632,15.628727
"LPP",27.9052,100.64853,148.75676,90.28215,90.01324,300.12137,37.312,39.45432,46.95168,97.93701
"QDPR",17.04336,23.9443,17.84388,34.35155,32.17018,45.08465,12.68954,1471.64715,14.43938,87.78682
"KDR",0.1231505,0.2657995,443.7325468,0.3453987,0.191503,5.476308,0.1796219,2.0025362,0.1045867,0.3992184
"IGFBP7",13.74656,55.2458,6034.32066,29.53275,16.76397,4800.40719,13.95702,49.40882,10.3783,317.74296
"JCHAIN",13347.36,22.50538,15.02385,3.18611,1.683647,2.63792,7.990729,0.6534513,7.894459,0.469755
"AREG",221.533047,1756.911197,66.708847,1047.913877,105.362371,163.222552,267.069227,7.349717,456.608196,6.112719
"SCD5",6.494901,5.791567,31.170747,8.848067,7.112841,112.464136,6.031455,440.399792,6.83714,323.619899
"SPARCL1",9.164176,13.773551,3347.835427,32.156705,22.992803,2179.135243,11.096893,82.234564,14.893308,852.597304
"SPP1",585.0933,1549.9697,401.6178,11775.5643,26801.9412,1656.6575,388.6744,2799.1753,290.1359,1164.5443
"ABCG2",0.6703973,1.2001741,850.026832,1.8914665,3.452128,9.7729252,0.6506679,0.3617239,0.8812275,1.6792034
"EMCN",0.3458368,0.09374724,282.8684645,0.33860116,0.22095546,7.32692177,0.16021687,0.2566302,0.18905098,0.18491334
"OSTC",207.26313,192.46508,140.18538,156.31408,130.66801,424.08615,72.49263,59.52322,89.48411,134.79767
"UGT8",5.2457424,0.8328299,1.6981119,0.944667,0.7476972,2.6985779,0.7747461,464.0530885,0.854338,22.8248394
"SNHG8",220.49029,267.75572,151.86036,189.09106,206.12846,96.1576,140.71064,88.49292,230.28622,120.1137
"SPRY1",8.655254,35.314694,480.766851,43.548193,124.718573,185.123375,17.065764,9.155511,20.291053,97.584422
"HHIP",0.4274371,0.2989268,1.7797712,0.4648601,0.2970016,2.7347791,0.1460571,221.4213135,0.1671942,2.5475511
"TMEM144",1.9312084,16.4877017,7.7428368,27.8431789,34.0943012,5.6051689,0.958062,670.2911554,0.9426725,6.4780727
"MARCH1",91.30426,296.414421,8.045354,222.484548,207.358807,7.597206,6.400259,86.209602,5.9922,17.64414
"SPOCK3",0.1296201,0.3818717,21.4064909,0.8669997,0.4143333,1.1040949,0.1012117,347.3579109,0.1495421,1.1495354
"SCRG1",16.06429,25.8519,20.29484,24.38097,18.18379,102.34355,11.19447,235.53878,20.14176,695.27005
"GPM6A",16.537401,5.112766,18.867582,12.2288,6.996318,82.668447,6.925706,68.983603,16.107105,586.451447
"SPCS3",532.9195,179.43738,236.37555,192.40295,177.47601,111.79008,91.89303,116.98918,105.2543,102.3289
"TPPP",0.46194816,0.09936333,0.44101416,0.5686717,0.42889919,1.87214042,0.47096065,321.0315529,0.48361791,3.5858484
"RETREG1",5.857373,7.260174,3.037511,3.961955,1.423992,18.66194,11.056953,316.864476,22.869371,51.717902
"BASP1",145.748856,556.228374,23.713084,226.259318,247.887514,97.021382,7.576853,12.250745,10.677354,80.464851
"SUB1",711.6047,569.311,293.7568,309.7816,264.2536,496.7518,399.6118,205.7864,397.2677,627.1832
"IL7R",124.344586,226.647333,27.021048,66.21566,37.099341,18.263789,332.253879,5.043143,1480.593327,6.128682
"FYB1",73.47324,268.87267,31.89271,456.9563,606.9067,17.56795,254.6592,16.42767,285.2859,9.08073
"DAB2",21.712677,92.722101,206.63975,383.007457,321.016222,159.624778,10.051719,13.605865,6.360965,8.960566
