"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"PLEKHB1"," 11.079158","  3.978785","  7.564695","  3.751351","  9.932368"," 26.746767"," 14.240942","729.581047"," 20.597321"," 57.825202"
"SLCO2B1"," 22.505641","115.804955","294.338565","590.797252","524.538423"," 24.529430"," 19.277906"," 24.175414","  7.462744","  7.352806"
"SERPINH1"," 24.89515"," 28.06068","312.76443"," 31.12619"," 30.13504","477.57062"," 12.83798"," 15.88337"," 10.58757"," 59.59316"
"PAK1","  9.154146","179.068724","  3.726848"," 63.047434"," 73.334706"," 17.751743"," 11.988212"," 24.384154","  9.625894","  9.754803"
"FAM181B","  0.5677539","  0.5082901","  7.8932970","  0.9029931","  0.9963818","  7.3971825","  1.3187228"," 43.1528402","  1.4950258","184.8680193"
"BIRC3","335.452041","397.750368"," 23.878911","  7.441358"," 26.869064"," 29.344781","227.837740"," 77.350451","467.469312","  5.243548"
"CRYAB","  17.29246","  13.37337","  38.27056","  16.98695","  14.63186"," 202.65996","  12.91844","3912.34226","  29.76566"," 172.49252"
"IL18"," 11.497808","249.995848"," 12.036705","280.122822","307.273629","  7.915233","  7.449259","  9.023047","  5.274296","  2.664961"
"NNMT","  2.097331","  1.514086","114.696609","  2.215168","  4.261324","932.954543","  3.934644"," 22.291635","  5.213666"," 72.182530"
"TAGLN","  4.802080","  4.969411","140.152012","  4.337035","  4.228365","629.654672","  4.685381"," 15.005655","  4.246383"," 10.194484"
"CD3E"," 15.4256090","  9.5504344","  7.0541774","  1.5978270","  1.6664636","  1.6137029","365.3367059","  5.9178367","260.4062009","  0.3050927"
"CD3D","  64.305621","  38.162289","  18.577654","   9.252513","   7.370510","   7.436591","1626.610422","  19.816130"," 944.647243","   3.213136"
"CD3G"," 11.78752352","  6.28810552","  3.34669035","  1.00482750","  1.68722266","  1.66729923","390.05326014","  9.11920353","228.20187656","  0.06356548"
"ESAM","  0.15755500","  0.33284334","272.59643253","  0.10842992","  0.07678084","  1.98251709","  0.14217301","  0.51905868","  0.85097613","  0.22738176"
