"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"IKZF3",53.351676,6.083272,2.518342,1.849681,1.294664,1.199526,159.082989,3.199125,93.830661,1.443581
"IGFBP4",1.643953,2.14339,133.863316,10.995328,5.697055,269.165303,3.944504,4.064024,5.130316,7.596859
"CNP",18.59249,19.21093,43.91419,26.15791,23.24801,47.15914,17.11456,1689.52137,21.20593,111.86625
"RAMP2",2.4942021,0.9634689,765.825696,1.9724438,1.6155172,53.5616042,1.5998419,11.4595476,2.7414207,58.0686819
"GRN",143.83897,713.26393,436.39507,1012.3125,806.41795,186.01218,54.36578,138.41316,54.3041,131.58614
"GFAP",65.14164,54.0476,253.28946,51.4855,45.26941,403.40663,39.11383,269.45531,41.11015,1384.29945
"C1QL1",5.802511,1.556855,8.685614,2.745871,1.725769,20.236821,4.034423,26.558562,6.326504,200.551401
"SKAP1",22.7543,5.992728,1.69923,2.055963,1.59259,1.668957,196.889204,2.305195,166.957502,1.548947
"COL1A1",4.518219,3.563308,52.643662,6.077142,4.90066,4661.842048,5.263738,29.789716,5.101935,27.327696
"TOB1",16.3772,26.07853,18.60686,21.53833,18.67425,22.33204,80.05456,44.63365,128.95126,25.84463
"NME1",50.6733,60.15879,93.63906,76.82255,62.86757,167.42531,40.91337,116.29765,50.21988,329.61518
"LIMD2",154.34483,171.53019,22.27245,63.96143,69.92648,40.87692,335.77699,13.62191,250.21962,35.43878
"CD79B",151.3486292,11.2412369,4.1719623,1.8722762,1.1145323,6.7146581,25.5867978,0.4639206,39.9780005,1.0449233
"ICAM2",30.0162766,9.6608183,165.3860846,7.9726327,7.2138599,6.8420979,28.3867825,0.5900528,42.0281878,1.0214016
"ERN1",103.98279,31.23429,25.40744,29.87752,19.21939,15.19548,133.55482,15.31267,138.26676,13.60899
"PECAM1",65.412227,84.365327,1304.833062,114.957105,90.543169,14.006818,63.695267,5.551454,11.165797,3.18774
"SOX9",0.7567719,0.4709512,3.7776115,1.185015,0.8229842,11.7535098,1.3503136,11.8386214,2.3432658,64.0775276
"SEC14L1",109.32776,138.97875,884.55218,141.27847,179.01515,107.50048,58.77156,150.5887,91.3443,160.85219
"RNF213",157.08055,154.03008,162.62772,213.93385,207.24837,100.64426,577.27906,189.06393,468.9068,74.15288
"AATK",2.590935,3.739744,15.886254,14.772602,14.21411,7.045905,2.040867,363.997809,1.440938,13.125945
"SLC16A3",23.45688,145.58951,51.21629,249.60792,212.66338,49.35923,31.10694,13.01552,36.92751,19.91044
"CD7",11.46104,26.618552,6.054626,10.655895,14.784388,2.187393,260.067814,3.49712,271.848793,1.974414
"RAB40B",6.066501,6.71526,9.181194,5.845164,7.348318,10.568347,5.08014,497.212857,3.536357,14.649617
"MYL12A",341.2463,729.4101,1015.6399,477.5582,407.0286,707.1373,1202.8863,152.4648,1076.0587,161.4682
"ANKRD12",160.07465,129.77791,173.83364,120.65971,95.61434,67.70419,270.07452,281.60673,318.56706,114.96243
"OSBPL1A",3.253379,25.352324,48.526493,37.431274,42.107446,48.673491,3.465503,513.246561,4.901935,72.662106
"CDH2",4.956456,5.522758,302.258947,7.208217,2.808992,100.556502,5.177514,118.309448,10.495019,355.788921
"PSTPIP2",9.527338,100.28273,7.779663,35.174086,21.472005,6.031437,18.646056,1.228848,13.75905,1.370105
"TCF4",114.69852,71.49697,736.185,73.22666,87.08801,209.66781,12.00288,248.18627,17.76023,378.56789
"SEC11C",227.00826,53.3337,65.12421,56.68141,51.75432,68.22603,103.57076,337.36534,111.03337,204.47719
"CDH19",1.20932281,0.29762374,0.62521901,0.46372535,0.08370871,2.06842621,0.65608876,154.2821191,1.15562552,6.52020589
"DSEL",0.5566382,0.1601562,3.0646338,0.5159782,0.3907365,5.5865505,0.5958141,16.5338103,1.0961232,27.0866966
"CNDP1",0.2350209,0.1430984,0.9411321,1.2969616,0.4976718,1.4792249,0.5760984,669.0200041,0.3985679,2.3012765
"MBP",99.62789,229.43844,83.26598,183.91963,247.03454,96.58051,371.3062,6061.84645,218.57808,157.10759
"GZMM",23.955558,10.241266,4.445457,3.872071,2.238908,3.328457,438.31161,3.408428,155.041038,2.412531
"HCN2",0.6978118,0.008497111,0.23854,0.3419208,0.1265073,1.46668,0.8331582,107.7566,1.117253,1.731108
"CFD",15.821022,65.184335,7.812004,186.333868,157.388888,8.747774,12.136694,7.291497,10.217928,5.612016
"CNN2",35.792672,99.187887,47.877707,21.839577,6.024791,63.54762,101.155865,7.219161,77.321882,8.500792
"JSRP1",55.64507123,0.11095098,0.40824025,0.31298961,0.23945104,0.06728401,0.96349975,0.33206371,1.06413051,0.36233712
"TUBB4A",1.784884,1.034296,4.695981,1.910142,1.929759,10.491996,3.157499,1133.711884,1.945538,42.991222
"C3",101.92393,832.0203,129.15889,1039.89453,1926.90674,107.29766,50.97862,76.16426,41.76219,62.26076
"INSR",15.864803,39.061941,1066.851429,26.488609,21.464624,37.741737,3.185732,178.161742,3.662344,39.378825
"ICAM3",79.745106,72.47588,24.394011,18.574057,9.267919,18.356206,178.563972,5.966846,182.342322,11.081985
"ELAVL3",4.8489218,0.9052703,4.2111014,2.0897973,0.9969997,13.2443383,2.9762193,463.5664002,5.3559729,101.3568312
"PRDX2",105.43828,91.55884,242.62047,93.289,109.36371,331.36943,166.70002,299.81054,244.03732,845.12504
"NFIX",5.340135,2.515065,13.198639,5.238008,3.04213,45.022436,3.956065,187.149123,5.359952,127.747776
"NOTCH3",1.5444898,0.4844297,36.1363381,1.7964772,1.2098596,233.6796486,1.1450539,4.7973655,0.4880488,28.4069832
"TPM4",145.8585,290.9177,954.2315,354.3325,226.9286,1096.2786,148.6813,247.1183,223.9828,255.6994
"HSH2D",21.4198573,8.37228646,0.11429013,0.71856573,0.3865483,0.09741954,12.83650416,0.02076184,8.13996994,0.07928497
"KLF2",262.34676,95.97764,452.46515,169.76797,294.76707,46.70488,229.05161,18.81944,372.25692,19.64095
"PLVAP",4.3233976,5.6428145,613.6227145,7.6022615,25.0601939,3.6515751,0.9911427,0.9939102,1.6949326,0.8914027
"IFI30",50.40376,293.99613,25.51483,514.89928,411.70508,24.44536,17.97268,18.26018,17.19706,11.30325
"FXYD5",114.02211,247.38489,230.79478,246.01835,201.11307,66.87863,227.22329,15.3907,387.65745,36.556
"HAMP",17.565678,41.646635,21.263843,170.795061,347.477831,14.06798,9.028249,8.54279,6.532842,7.637291
"MAG",0.7155863,0.2459468,2.445832,3.1307387,1.0379152,4.5655764,1.9834921,1970.1384056,0.917394,5.4735661
"APLP1",1.5138668,0.3951192,6.7036728,2.9053197,2.7119155,20.5476916,1.8852813,988.1188788,2.7873147,49.0779115
"HCST",179.13799,395.93276,55.55073,494.36107,636.44652,43.82069,1806.4781,29.53018,970.35486,21.43297
"TYROBP",242.61893,2444.26221,138.88639,3798.44458,3956.09982,167.88841,312.68463,148.11222,125.2574,93.17309
"COX7A1",1.04298,1.203411,309.733412,3.610105,4.224146,347.949325,3.907352,18.669654,2.495396,47.059718
"SPINT2",47.729256,259.819028,25.528583,107.589714,120.787727,13.169317,9.944716,16.369044,27.748352,5.060994
"PPP1R14A",25.51902,97.694662,81.830714,9.195768,5.378589,461.588806,5.20748,3499.104916,3.536503,26.411775
"SIRT2",25.19417,22.4836,31.52561,36.01519,35.46316,40.65701,50.52574,601.87888,31.85935,109.45329
"GMFG",221.20093,467.38695,322.92275,452.97966,458.34075,136.50281,790.37214,27.49829,708.46058,17.41543
"FCGBP",47.40017,297.25957,90.01672,975.03066,1459.67747,63.56308,41.93138,65.7472,25.71527,31.27444
"CD79A",391.4301937,22.7890124,0.4850622,0.5574868,0.6987576,0.5408756,3.2300187,0.3088452,4.0964315,0.5890491
"POU2F2",94.314469,61.756609,4.157114,57.79626,88.389736,7.870424,16.944902,5.003951,28.39644,4.350572
"ZNF428",37.96708,51.64688,132.2188,52.54199,50.61279,185.66402,94.93007,247.05392,66.76094,437.6827
"PLAUR",20.08287,168.86458,62.90991,389.16853,353.17562,90.71324,16.92252,32.9229,18.62028,21.83689
"APOC1",567.5093,1415.0006,278.7367,8270.9114,8853.22,443.41,373.9875,552.7559,247.2216,253.6693
"APOC2",33.72444,207.8982,53.48412,668.92158,1678.43612,67.61779,35.6777,34.49809,23.05269,21.0796
"C5AR1",12.72276,59.977444,19.271209,273.347242,198.657855,13.439278,7.780671,8.425912,7.554883,5.533428
"CD37",601.510925,303.171335,26.743931,240.820896,329.067917,16.299772,365.284625,14.570387,346.032806,9.850531
"FCGRT",50.48306,370.32268,370.14274,547.39171,659.14997,122.76059,38.56162,34.27724,29.27638,66.78866
"KLK6",0.2230042,0,0.2937257,1.0780306,0.2798386,1.0063276,0.4855585,555.307491,0.1387587,2.5659722
"NKG7",110.762784,61.375973,18.472475,34.847057,19.269782,9.252418,2770.682206,16.678373,193.733866,6.108017
"FPR1",9.205297,96.295206,10.420613,126.270233,151.395182,6.241437,4.708862,4.836005,2.872963,2.123704
"LAIR1",20.523559,87.025462,13.378627,185.675996,188.888251,8.679047,23.325605,9.31407,22.652813,4.321256
"TTYH1",8.020489,3.102129,19.25911,9.414431,5.229436,126.152755,7.361296,293.869356,10.50907,450.097193
"LILRB4",11.89203,51.588248,7.098741,81.336002,138.659868,5.396965,3.794566,5.393284,2.916609,2.059136
"DSTN",28.14701,50.39534,323.08809,51.84552,45.79232,385.425,49.07209,221.88552,58.73922,221.31783
"CD93",1.8711594,13.0653709,79.5817412,30.7118292,13.0630985,1.5622802,1.2016476,0.837257,1.0319111,0.4243473
"CST7",36.836861,140.67533,5.619547,12.587805,6.640791,2.965235,724.408669,4.124316,139.318092,1.915933
"SPAG4",43.747958,3.83028,4.399434,8.938759,4.770534,12.212497,2.405113,2.093452,2.536528,7.15458
"MYL9",3.203413,3.607304,57.183107,3.022894,3.23287,513.888767,1.720851,6.544163,1.728411,11.613773
"SAMHD1",24.31111,216.12638,37.82433,157.99392,134.86407,34.3653,77.93744,38.04444,94.37256,22.77188
"TGM2",1.2151843,4.0667101,124.1234218,7.0169373,1.4031279,14.2155204,0.5558912,0.2985206,0.5398146,0.9903403
"MAFB",10.375375,71.014155,10.497741,209.000362,201.816103,13.761449,8.335539,11.647928,6.361906,8.839516
"STK4",84.83727,112.09713,36.22797,66.61056,70.68236,25.21561,234.13291,39.9219,204.01499,37.33707
"CEBPB",30.16939,137.29716,63.59455,306.73234,275.72482,103.16362,74.37394,30.92798,83.59086,41.96836
"BCAS1",0.7269096,0.9198537,2.3762925,1.9418574,2.9490963,4.1800357,2.7380417,245.1691895,2.8156667,11.1073707
"ZBP1",16.2568173,2.0776136,0.2156787,1.6977603,1.8162481,0.5977862,18.857422,0.2956482,12.8820425,0.2141265
"CTSZ",149.4756,476.1773,166.91316,637.15203,560.93661,111.40793,61.73426,60.64519,72.52543,58.52059
"SOX18",0,0.01125915,114.84943959,0.11703181,0.06351084,0.6410387,0.07378377,0.10857553,0.35518599,0.82549382
"SAMSN1",48.512093,96.179002,15.245832,187.630804,193.945886,9.250923,112.985626,9.633146,167.238477,4.88987
"APP",15.173412,19.511836,448.195218,31.094918,19.949821,129.645829,5.724732,419.413721,10.963421,167.386955
"CYYR1",1.87488298,9.48574149,165.51513021,0.41081931,0.12428574,1.76107936,0.21346832,0.06017584,0.34424794,0.42343552
"OLIG1",3.671192,2.068115,17.689652,4.904085,2.731824,21.239234,5.148418,270.605768,6.834593,228.569677
"CBR1",16.94961,31.0091,23.39174,37.56915,35.91914,83.56416,25.31504,584.42326,30.33084,167.87301
"ITGB2",78.07074,617.94436,35.20866,672.20005,717.42507,28.22024,365.96585,28.75554,233.65753,19.18353
"COL18A1",0.7322388,0.6715811,65.2521764,1.1767236,2.0811707,89.5627987,1.5724923,26.9677045,1.4326266,2.9027095
"COL6A1",3.335382,2.668787,44.528337,6.616878,3.103502,809.980372,4.789003,30.961538,6.750195,127.111839
"COL6A2",0.7215148,0.5784735,36.1956055,1.3148867,0.4597415,205.9808606,3.0160705,4.3522846,2.5698427,12.9294732
"S100B",31.39393,659.24453,61.10359,69.00309,69.61065,241.2379,45.83612,2389.21672,47.7176,1352.53078
"CLDN5",2.348796,0.297659,1247.2938305,0.6726482,0.8090415,7.4294058,0.5332834,0.8350712,1.3238028,2.2602532
"SDF2L1",165.01088,118.83817,67.89224,124.95549,102.33719,87.98945,127.62734,117.74961,105.84877,96.4657
"IGLC1",15362.386079,14.240973,11.619719,13.115055,7.460741,2.562637,30.83841,2.769676,33.725202,1.575676
"IGLC2",66349.13296,67.12384,12.0023,43.22338,21.60645,83.42984,162.53037,24.34281,121.92286,14.32193
"IGLC3",53985.861068,41.205434,24.37227,25.427768,17.068275,293.786901,85.217674,6.466437,82.752005,4.432456
"VPREB3",166.6057357,5.2308146,1.1354566,0.3655664,0.1996008,0.5046243,0.2169641,0.8150508,0.3263864,1.3468202
"DERL3",234.9199254,4.1463499,1.0135144,2.9374298,3.6277392,2.1311008,1.342232,0.8385869,1.3392453,2.5502557
"GGT5",0,0.8013166,103.1409078,0.8021821,0.2921833,55.6304964,0.2098476,1.0583528,0.2414904,0.8949839
"XBP1",338.6451,43.21606,32.43342,60.2723,58.32344,41.16281,58.51651,31.44775,62.66426,30.09251
"PIK3IP1",26.70309,23.390046,23.101603,28.391941,37.029013,5.033544,88.897657,13.555728,102.989074,4.15475
"TIMP3",1.3402701,0.5665461,143.8691122,0.8671057,0.6875193,93.030591,0.842512,2.6245587,0.8401662,20.3126264
"HMOX1",62.2485,244.19826,64.76101,830.58266,533.04913,87.51732,39.33451,57.75637,33.76,59.11533
"RAC2",168.13003,104.061561,13.568816,98.918715,56.237433,8.222424,483.151172,7.161276,431.364332,5.72029
"LGALS2",2.8169103,197.3784814,0.8906911,17.7938239,0.7697899,0,0.9443478,0.4474368,1.7774212,0.7005784
"SUN2",33.65206,36.11594,62.34428,43.38939,31.15376,30.94194,127.08226,493.03724,86.33321,21.72189
"APOBEC3G",22.736166,25.425258,5.860033,14.5648,19.751386,7.401988,225.196486,3.960548,59.913453,4.356269
"TNFRSF13C",80.2980477,8.48396557,0.09606495,2.34756482,8.69339174,0.13981722,1.02642271,0.31680247,1.73747907,1.83681828
"FBLN1",3.270318,1.872327,23.544552,2.172892,2.844109,937.694399,3.202083,30.662036,2.138304,36.050608
"TYMP",70.35077,367.27562,35.33384,344.24389,246.87334,48.54536,58.5501,18.78169,95.6763,12.90141
"CSF2RA",9.679691,135.538399,4.89109,76.59032,131.530976,3.570829,3.465451,4.219786,3.221289,1.7835
"GPM6B",39.88774,17.07885,99.03205,35.04314,18.12117,344.37341,37.99027,2921.51522,47.57675,1139.89217
"CYBB",39.234993,86.124793,14.382049,192.025259,205.654176,6.094291,6.023438,7.428131,4.970533,3.062982
"GPR34",10.333329,102.811261,10.71263,133.545525,257.4632,6.499292,6.332255,6.79587,4.801703,3.134835
