"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"NFIB",-0.77506336,-0.83252044,1.56132088,-0.77881519,-0.79959103,-0.29007149,-0.60528339,-0.06307801,-0.64622387,0.92242702
"PLIN2",-0.8767802,-0.4178316,-0.4299335,2.0020218,0.4579549,-0.583477,-0.5378232,-0.8844973,-0.4158603,-0.9615816
"SLC24A2",-0.38456036,-0.39042002,-0.28249384,-0.35693741,-0.36943348,-0.31762274,-0.27121525,9.84970497,-0.28011708,-0.03203362
"DNAJA1",-0.0257538991,0.0784923314,-0.0219466637,0.0432850773,0.0159186607,-0.3424482932,0.574745202,0.0888089467,0.5858114435,-0.2079723315
"TPM2",-0.47044352,-0.57168021,0.63785841,-0.57333823,-0.58293734,15.76765296,-0.44490132,-0.45254917,-0.47913473,0.21202469
"ANXA1",-0.8760309,0.180328,0.11793,0.5608465,-0.4049917,0.3864259,0.7894539,-0.9191613,0.94879,-0.2486492
"PRUNE2",-0.4574285,-0.4426091,-0.3731547,-0.3649776,-0.3924218,-0.1115974,-0.3238924,4.7368416,-0.3431452,0.3036981
"CTSL",-0.9065641,-0.6987647,-0.7694422,1.313301,0.707707,-0.187479,-0.7607556,-0.4582352,-0.7527237,-0.7083357
"SLC44A1",-0.51345798,-0.48551467,-0.11031696,-0.47919171,-0.57037132,0.09225779,-0.52437717,8.35923075,-0.53228119,0.24761828
"TXN",-0.51612881,1.27799289,-0.07239516,-0.147633,-0.51743801,0.61259741,-0.1210386,0.30885695,-0.05642937,0.31344109
"GSN",-1.07538304,1.14077957,0.56334859,0.48790739,0.83531731,0.02199599,-0.89825761,9.94775646,-0.96917084,-0.92479382
"ENG",-0.5284705,-0.1625246,6.5336996,0.6764068,0.5821923,0.0691561,-0.3638194,-0.5106185,-0.4526367,-0.5595059
"AIF1L",-0.52337484,-0.55922762,0.01348807,-0.51985063,-0.53262683,-0.33686629,-0.37333629,4.31181341,-0.39923808,0.43118846
"EGFL7",-0.19786393,-0.223011216,16.078026736,0.005444771,-0.042943492,0.269518942,-0.154192247,-0.193322122,-0.174203015,-0.160954974
"PHPT1",-0.62879862,-0.57387248,-0.36848105,-0.55942545,-0.57988649,0.25333187,-0.42129559,-0.04671463,-0.43316856,0.68218843
"PTGDS",-0.9142936,-1.7644247,-0.5006776,-1.6579308,-1.7337159,7.5849383,-1.0918742,44.5921923,-1.3827362,-0.6007841
"ABCA2",-0.44979644,-0.38227971,-0.27420966,-0.38055206,-0.38777732,-0.31615071,-0.07900535,10.35227879,-0.18672788,-0.08388285
"NPDC1",-0.700561,-0.704681,2.0165565,-0.6436392,-0.693456,-0.2328098,-0.4694832,-0.1764928,-0.4140999,0.8509601
"KLF6",-0.66931894,0.3329104,-0.14033263,0.84087339,1.64843497,-0.56522446,0.07774455,-0.68619008,0.63018463,-1.21598303
"GDI2",-0.23478726,0.83777271,0.03399069,0.34813384,0.2094558,-0.08606902,-0.08443168,0.2050208,-0.04433246,-0.29090143
"CELF2",-0.3492438,0.3691474,-0.7397046,0.2701364,0.3836945,-0.5786674,0.3987634,-0.665835,0.4619461,-0.3780132
"FAM107B",0.31041452,-0.03799803,-0.08851754,-0.01512061,-0.35886406,-0.35980098,0.83410208,5.4987146,1.33914756,-0.39918671
"PLXDC2",-1.0057435,0.5820653,-0.9794536,1.221439,1.8382499,-0.820096,-0.9593851,-0.710263,-1.0553638,-1.1184394
"PIP4K2A",-0.1447247,0.2475925,-0.28387957,-0.09650099,-0.20534146,-0.42848161,1.21909648,6.12710735,0.50307611,-0.38244223
"ARHGAP21",-0.6574889,-0.4420794,-0.3031264,-0.2543363,-0.1143611,-0.3559599,-0.5140778,4.7828245,-0.562071,0.126452
"APBB1IP",-0.49708343,0.43311506,-0.81291547,0.46449038,1.43130515,-0.84214613,0.31281409,-0.76156263,0.07137086,-0.87034608
"ITGB1",-0.43694276,-0.07719617,3.87370815,0.16599197,0.19818584,2.73129017,0.1189396,0.13282137,0.05818779,-0.32878774
"NRP1",-0.4573265,-0.433147,3.5418217,0.5459702,0.3151842,0.2763044,-0.3772676,-0.4298186,-0.4426182,-0.3239619
"ANK3",-0.221616878,-0.261132865,-0.32297033,-0.321167792,-0.347013941,-0.276627247,0.104610016,5.552385646,0.474070755,-0.003721211
"SRGN",-1.5782371,1.1520538,-0.8965346,2.7560983,2.2964948,-2.1194718,0.4905805,-2.2962561,1.1747241,-2.4705736
"PPA1",-0.21047483,2.71222691,0.39993053,-0.03168752,-0.04371993,0.22229219,-0.02313044,0.94427967,0.30765304,-0.09491929
"PSAP",-1.1502497,-0.4019655,-0.8035822,1.7406872,1.3039178,-0.9016576,-1.1968302,0.2086306,-1.2743255,-1.0752102
"SPOCK2",-0.006039525,-0.392947915,1.855837228,-0.482750969,-0.519815005,-0.260761535,1.335470954,-0.389720383,3.554202744,-0.110993423
"ANAPC16",0.11968741,0.20516385,-0.04097847,0.11989903,0.1712405,-0.07691149,0.65378749,-0.23545924,0.80812843,-0.315439
"DDIT4",0.05622779,0.6354575,-0.26016557,0.26771137,0.53970367,-0.34785544,1.01854419,-0.60635275,1.51236695,-0.65360764
"SCD",-0.70314467,-0.6913524,-0.60948568,0.05288447,-0.33277936,-0.53289661,-0.48780538,7.77927313,-0.54968123,-0.02433727
"GSTO1",-0.60008651,0.06551469,-0.0899808,0.78483236,0.33634394,0.21351223,-0.19833265,0.31684229,-0.2522832,-0.52512589
"ABLIM1",-0.09896939,-0.31808947,7.01870105,-0.32463944,-0.34540803,0.08821536,0.43318221,-0.23997457,0.37994709,0.15355641
"RGS10",-0.9171681,1.9011484,-0.9258256,0.747851,1.8426924,-0.9017384,-0.2270407,-1.0274773,-0.1282202,-1.1006465
"FGFR2",-0.3982157,-0.3946829,-0.30364,-0.361341,-0.3619156,-0.2987361,-0.2558498,11.7370532,-0.2745381,-0.1496016
"LHPP",-0.15346255,-0.19060304,-0.23163046,-0.18466959,-0.19010971,-0.1819274,-0.16203382,8.2777143,-0.17175357,-0.18355134
"NKX6-2",-0.7911971,-0.7788011,-0.5692257,-0.698641,-0.7365054,-0.7504284,-0.5929107,30.0131389,-0.5897508,-0.6457218
"IFITM2",-0.3749548,1.72430949,2.56894293,0.31771595,0.01192758,2.08544277,1.13669142,-0.69156661,1.49331839,-0.59329549
"IFITM3",-1.07295383,0.39699324,3.74185466,-0.06887019,-0.39315222,9.6590265,-0.86591445,-0.28844201,-0.93382814,0.22039617
"CD151",-0.6429241,-0.4473229,0.2929208,-0.2023575,-0.3115393,0.4605681,-0.4187891,-0.5342298,-0.4321629,0.4151429
"POLR2L",-0.5024198,-0.3841204,0.1226315,-0.1179735,-0.3024896,0.5921371,-0.1311462,-0.2965431,-0.2217236,0.2490738
"CTSD",-1.09965307,-0.85646064,-1.01333796,2.30601803,0.65643749,-1.05190365,-0.78163891,-0.02233161,-1.0246679,-1.11966157
"LSP1",0.2889652,3.0481773,-0.6862198,0.8678619,0.1930483,-0.7348868,1.1768351,-0.731834,0.7682355,-0.764975
