"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"CDH11","  1.80109090","  0.30920179","200.74365367","  0.09781574","  1.24714546","335.23259698","  0.38108880"," 14.43154412","  0.63146410"," 22.07416581"
"CDH5","  0.6211672","  0.3491936","311.9562158","  0.2155259","  0.0000000","  1.7531966","  0.3657986","  0.4479665","  0.4905639","  1.2538700"
"CKLF"," 88.37508","567.36901","107.28661","305.65778","302.61591","113.57002","166.40749"," 52.15226","182.83692"," 81.93177"
"MAF"," 27.66535"," 60.87229"," 34.78433","326.94949","429.97003","103.15650"," 76.76472"," 22.22544","110.44271"," 21.74435"
"COTL1"," 188.30812","1321.07428"," 300.34651"," 622.23757"," 661.88827"," 223.35337"," 337.35524","  37.26716"," 254.08176","  81.76527"
"CYBA","1628.42828","1661.45947"," 491.95310","2300.14477","1999.60958"," 268.63960"," 678.27022","  43.39469"," 567.81505","  32.68390"
"APRT","195.17671","305.87344","143.32376","255.97291","242.05868","239.41525","212.98415"," 71.91174","274.77080","141.34673"
"CXCL16"," 29.051391","262.619031"," 15.354223","391.754796","399.244218"," 22.665753","  7.521634"," 14.640918","  6.796554"," 26.301242"
"TXNDC17"," 88.53129","112.49655","136.45159","152.84115","129.73987","241.18745"," 48.58353"," 86.47129"," 49.70719","382.30839"
"ACAP1"," 88.716467"," 63.134719","  7.978606","  9.627782","  5.313781"," 18.286517","209.525230","  7.205717","164.338405","  1.385096"
"CD68","  53.645805"," 223.553060","  22.869935","1143.901176"," 615.099728","  46.129989","  18.533463","  14.648033","  14.502460","   8.261920"
"ATP1B2","  8.257580","  1.914966"," 15.306047","  4.378374","  4.568110"," 49.146343","  2.875816"," 43.526699","  2.605884","387.486657"
"SNHG29","105.0134","269.9792","209.9297","264.5181","334.1008","699.7571"," 57.9103","111.6332","135.4651","135.3932"
"LGALS9"," 20.902434","205.662380"," 51.178406","298.192407","294.658847"," 16.007665"," 15.008152","  9.142884"," 15.647004","  3.654090"
"ADAP2"," 10.255092","117.493944"," 14.623964","366.424370","305.215005"," 10.797153","  4.036485","  4.855026","  2.246024","  2.031775"
"EVI2B","187.490019","292.691248"," 11.186239","265.640383","271.875357"," 10.324295","101.752276","  5.444026"," 90.560976","  2.918615"
"CCL5"," 159.882362","  95.272309","  57.919250","  37.471275"," 125.841382","  39.323173","2391.270326","  26.025792"," 135.257768","   5.962947"
