"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"CKB",0.2830018,0.4377923,0.6682927,0.3629037,0.4823952,1.642889,0.5929697,2.8696702,0.4477628,8.5581082
"PACS2",0.04882459,0.12909261,0.20780488,0.14982628,0.17760112,0.10610789,0.07426857,2.51032448,0.07133812,0.15905804
"CRIP2",0.03164557,0.01496726,2.58634146,0.02318164,0.01513767,0.76370932,0.02454185,0.24188791,0.08168003,0.71314008
"CRIP1",1.56600362,2,0.51414634,0.64751951,0.19337841,2.95720018,2.57957346,0.06033789,2.43742085,0.13251824
"CYFIP1",0.11392405,0.60617399,0.76,1.36811528,2.50194932,0.41194828,0.07030329,0.21453473,0.09297172,0.38882863
"SCG3",0.05334539,0.01496726,0.07609756,0.02648516,0.01489401,0.26794472,0.03140071,0.33011531,0.0748206,2.27557024
"ANXA2",0.7007233,2.5322732,2.9931707,3.6423933,1.9850146,5.5020062,1.492123,1.5784393,1.4402702,2.1683264
"TPM1",0.05786618,0.17680075,2.33756098,0.1978698,0.19267788,6.88497548,0.10845569,0.35451864,0.11956522,0.77877473
"UACA",0.03797468,0.06080449,2.44487805,0.13621348,0.14580288,2.600535,0.0144679,0.22123894,0.0127691,0.14076776
"LARP6",0.009041591,0.002806361,0.083902439,0.022925329,0.007005361,0.271511369,0.009859608,4.779833736,0.018151119,0.231249589
"RCN2",0.3761302,0.3180543,0.9004878,0.2520647,0.2733614,0.9086045,0.4506484,0.9297399,0.4338328,2.0146585
"TSPAN3",0.3336347,0.3975678,0.844878,0.3935467,0.403722,0.8898796,0.2578502,1.0101904,0.2285775,2.1968875
"CTSH",0.77396022,2.86810103,0.2897561,1.47545139,1.50018275,0.14355774,0.09538099,0.05577903,0.29579992,0.0516992
"AKAP13",0.8951175,1.7502339,1.244878,1.520647,1.5689876,0.8368257,1.9629193,0.175114,1.828092,0.4938375
"ISG20",2.39330922,0.92797007,0.26926829,0.24710942,0.1106847,0.2875613,2.473154,1.56208099,2.1939637,0.15143298
"CIB1",0.7197107,1.5565949,0.6439024,1.1837444,0.9641508,0.9170753,1.77698,0.6765889,1.9121992,0.6439394
"SLCO3A1",0.07142857,0.2282507,0.29756098,0.11827191,0.03834673,0.18457423,0.11574322,2.1179941,0.18826509,0.07464011
"MEF2A",0.5063291,2.1019645,1.3609756,1.7444894,2.3850816,0.4797147,0.2921445,0.7543577,0.2563318,0.362371
"PCSK6",0.0009041591,0.0037418148,0.0165853659,0.0061513926,0.0027716862,0.0240748997,0.0048226342,2.2426924108,0.0023216547,0.0191941103
"METRN",0.6229656,0.2273152,0.7141463,0.301703,0.2305373,1.9215337,0.7646554,2.3912577,0.6520684,9.2091961
"TMEM204",0.013562387,0.018709074,1.72,0.01005297,0.012944688,0.524297815,0.103204373,0.009385894,0.106901646,0.003270229
"SLC9A3R2",0.00994575,0.01964453,4.40487805,0.03206698,0.02537159,0.20151583,0.01114564,0.10539019,0.0166737,0.14490896
"IL32",0.73869801,0.46117867,1.40585366,0.15612007,0.09353679,0.28845296,7.32708177,0.0611424,11.97804981,0.11102347
"CIITA",0.26672694,1.25631431,0.02634146,0.41533292,0.41633163,0.0156041,0.05872897,0.03432556,0.03176446,0.02032801
"LITAF",0.5560579,3.2694107,0.4165854,2.4080424,1.4412768,0.5051271,1.2589219,1.4754626,0.813951,0.4290081
"GPRC5B",0.01808318,0.01028999,0.18146341,0.02366577,0.01075171,0.15916184,0.01018112,3.69991955,0.02384973,0.64850786
"IGSF6",0.094936709,1.579045837,0.067317073,1.35572706,2.089059454,0.041016496,0.042546351,0.048270314,0.035669059,0.026983501
"CORO1A",1.5669078,2.4920486,0.2478049,1.7219627,1.9417641,0.1662951,4.7476155,0.1268437,4.2124314,0.1126339
"VKORC1",0.198915,0.5163704,0.7092683,0.7973458,0.6776925,1.4658939,0.2758547,0.6025744,0.2953778,0.887514
"FUS",1.667269,1.903648,2.58439,1.807826,1.589851,1.790905,3.924981,2.006704,3.11355,2.59574
