"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"PTN",0.2632609,0.1411659,0.727828,0.2146861,0.175255,1.8035635,0.5682202,1.7680491,0.3834258,2.8328088
"TRBC1",0.141154419,0.060555455,0.0402655,0.028594398,0.018701007,0.011188656,0.979832518,0.006115847,0.891550091,0.009118021
"TRBC2",0.23617957,0.09403797,0.03643979,0.0320437,0.02058842,0.01381642,1.04795816,0.01149793,1.12014586,0.01020276
"ANGPT2",0.03406787,0.02523912,1.54747088,0.0172383,0.02293058,0.27636337,0.03217853,0.16819592,0.03201906,0.05898363
"CLU",0.3188978,0.2226454,0.5878156,0.3117157,0.2563886,1.1983682,0.5867118,2.1684591,0.4417697,2.4966021
"PMP2",0.10688714,0.05669321,0.2909086,0.0759478,0.07072476,0.41462741,0.20014546,0.77613266,0.13812287,1.66547599
"TPM2",0.04468768,0.03582238,0.21870365,0.02733303,0.02468339,1.6654511,0.01593228,0.05143475,0.01586645,0.21138942
"PTGDS",0.11003288,0.05161613,0.19863394,0.05193367,0.04247686,0.83848611,0.09331971,3.21122795,0.06394532,0.26485013
"SRGN",1.088298,2.352011,1.6959767,2.6122093,2.6713316,0.6607153,2.2280177,0.3398643,2.2996855,0.2067877
"PPA1",0.2839979,1.2363223,0.57188,0.3872061,0.4023287,0.5389248,0.3017151,0.8284417,0.4824128,0.390793
"RGS10",0.198287,1.49709158,0.23514633,1.10782123,1.51622754,0.27809351,0.58111754,0.11340861,0.67632233,0.07529482
"NKX6-2",0.002613356,0.002324515,0.006315991,0.006167576,0.003457252,0.010276306,0.002532826,1.902125181,0.002171,0.01922695
"IFITM3",0.1472784,0.8949371,1.911949,0.6858596,0.5811596,2.4661684,0.2093201,0.5412566,0.1605446,0.7998203
"LSP1",0.43968145,1.09134855,0.03526843,0.61994836,0.40078802,0.05031385,0.69381962,0.03135875,0.58191582,0.03161496
"CRYAB",0.04242816,0.04378178,0.09222305,0.08001605,0.06133831,0.54164291,0.04334777,2.67896521,0.05577207,0.66182688
"TAGLN",0.02233554,0.0317232,0.37812029,0.03694938,0.03518657,1.87642791,0.02035469,0.0440893,0.02083384,0.10056786
"CD3E",0.124872272,0.073393914,0.040679462,0.031006538,0.020235404,0.010538276,1.100959674,0.012474082,1.138266117,0.009683258
"CD3D",0.17199767,0.08872687,0.03988831,0.03994629,0.02924977,0.01684614,1.46197157,0.01450057,1.43144626,0.01239771
"CD3G",0.093949004,0.04090051,0.020569001,0.021218988,0.01645302,0.01339368,0.991058717,0.008642217,0.931464812,0.007332696
"ESAM",0.002506861,0.002593628,1.262784521,0.00278823,0.002489142,0.113629993,0.001541763,0.003377429,0.002986743,0.004185153
"ETS1",0.3003171,0.10705177,0.98809073,0.09731263,0.09587354,0.39638282,1.10420866,0.07331397,1.09660487,0.11874594
"VWF",0.011647481,0.013616549,1.745754392,0.012718739,0.007026413,0.021777356,0.00990519,0.015368517,0.012912706,0.004605078
"CD163",0.15058849,0.72211268,0.20553909,1.47731417,1.18736735,0.13893926,0.10635257,0.08681875,0.10499101,0.0565831
"CD69",0.71132681,0.40646507,0.08651286,0.24859649,0.42006481,0.02777473,1.40813316,0.02783635,1.58331241,0.02123231
"APOLD1",0.04519513,0.02960742,1.4331319,0.01670703,0.01478929,0.29303819,0.05662657,0.03008857,0.06914649,0.04895531
"MGP",0.02039438,0.03210249,0.7447774,0.0332849,0.03686642,1.76307624,0.03297604,0.05836529,0.0295079,0.17503396
"FKBP11",1.00917994,0.07039358,0.15966028,0.04520851,0.03471936,0.43834861,0.22584269,0.03242454,0.30504283,0.09935921
"TUBA1A",0.5079026,0.7448276,1.0434681,0.5489191,0.5293196,1.3741176,1.0211281,2.7210281,0.8703488,2.8614474
"LYZ",0.19818147,1.66077249,0.16128978,1.50357234,0.6978924,0.08737083,0.11693427,0.04558356,0.11331743,0.05410187
"DCN",0.005842195,0.005566551,0.268889639,0.01437085,0.02176894,2.238183779,0.007122335,0.047165906,0.005853362,0.043859544
"FLT1",0.008620399,0.095280808,1.552067644,0.102023024,0.046770846,0.046535932,0.004946462,0.0016872,0.011154779,0.003007595
"LCP1",0.47366289,1.27292478,0.08997494,0.87163843,0.55397721,0.02910758,1.29209756,0.07309812,1.02943078,0.02438396
