"","TCGA-06-0210-01A-01R-1849-01","TCGA-06-0190-01A-01R-1849-01","TCGA-06-0211-01B-01R-1849-01","TCGA-19-4065-02A-11R-2005-01","TCGA-14-1034-02B-01R-2005-01","TCGA-06-0190-02A-01R-2005-01","TCGA-06-0125-01A-01R-1849-01","TCGA-06-0211-02A-02R-2005-01","TCGA-06-0125-02A-11R-2005-01","TCGA-06-0210-02A-01R-2005-01","TCGA-19-4065-01A-01R-2005-01","TCGA-14-1034-01A-01R-1849-01"
"CHRM4",52,52,81,47,86,32,23,35,74,34,22,62
"CHRM5",42,11,9,25,7,14,25,10,6,124,7,11
"CHRNA1",126,2442,4464,209,22,1165,1047,216,187,290,4366,64
"CHRNA10",68,57,40,40,26,38,80,48,13,50,74,16
"CHRNA2",3,2,14,170,26,3,4,10,51,1,5,0
"CHRNA3",4,179,9,63,22,428,57,10,28,11,233,4
"CHRNA4",7,72,109,128,36,2,220,199,75,268,192,9
"CHRNA5",21,162,58,78,74,161,160,29,42,58,107,81
"CHRNA6",23,36,15,10,4,14,15,5,7,37,107,81
"CHRNA7",45,99,53,34,15,333,65,13,16,50,42,98
"CHRNA9",2904,1510,673,158,4216,702,402,984,396,589,622,235
"CHRNB1",1010,688,1049,447,411,322,1049,892,766,1102,637,745
"CHRNB2",253,133,752,575,382,14,547,570,503,468,181,186
"CHRNB3",0,3,1,3,2,2,1,0,1,0,0,0
"CHRNB4",3,115,6,15,23,102,73,2,27,3,82,4
"CHRND",21,1,6,4,4,3,14,7,11,6,6,14
"CHRNE",147,91,45,88,14,134,44,50,24,70,46,20
"CHRNG",1,2,0,3,7,1,3,3,0,1,7,1
"CHROMR",445,275,534,316,219,248,719,368,379,442,677,194
"CHST1",740,1215,1013,3486,408,1507,1044,1502,1160,1209,1476,829
"CHST10",2778,3587,4174,1276,3740,1142,3759,2617,2473,3169,1793,3894
"CHST11",4013,3036,6191,3325,1034,3436,7838,4397,4390,5446,4550,1521
"CHST12",1217,1614,2443,1225,890,1710,2799,1663,1626,1841,1468,1287
"CHST13",3,54,13,52,1,77,25,29,14,3,39,26
"CHST14",2500,1505,3225,1936,1598,1877,3052,1772,1948,2026,837,2057
"CHST15",3073,2156,1080,1136,1258,5144,1539,1435,2965,3261,1759,1402
"CHST2",5491,5063,5904,1836,1432,3411,8117,3025,8802,2783,13642,5093
"CHST3",3195,3335,2886,5663,2199,3713,3444,2081,2772,3293,4236,1874
"CHST4",15,33,0,9,4,8,7,3,2,11,23,4
"CHST5",9,15,29,5,4,8,53,16,24,6,11,10
"CHST6",1539,1571,3356,2011,808,1157,3321,2502,6147,2548,1326,2395
"CHST7",847,1113,2484,522,427,994,2669,1034,1009,553,1440,974
"CHST8",775,691,2331,57,99,60,2774,985,1384,287,552,67
"CHST9",202,197,817,50,200,16,2253,389,1685,590,122,504
"CHSY1",4750,4153,3143,5574,1940,8735,3346,4021,4650,2808,4693,2547
"CHSY3",643,574,627,359,35,1423,503,385,361,340,276,177
"CHTF18",608,727,1249,531,598,600,2156,620,278,593,726,264
"CHTF8",2907,3794,4395,2819,2933,3377,3175,3264,2484,3863,4047,3205
"CHTF8P1",2,4,2,1,5,4,6,0,3,2,8,2
"CHTOP",4802,3661,5813,3278,3123,3138,5720,3865,2908,5344,5632,2614
"CHUK",1125,910,1134,961,935,984,945,942,841,1006,1458,699
"CHURC1",2890,2611,3612,2725,2731,2049,3138,3003,3122,2690,7828,2367
"CHURC1-FNTB",14,10,17,4,15,3,5,10,13,7,5,13
"CIAO1",4749,3815,6249,2879,2898,2903,5727,3920,3612,5231,5129,3010
"CIAO2A",2560,1472,1798,1170,2048,1394,1531,2319,974,1584,3429,1882
"CIAO2AP1",0,0,0,0,0,0,0,0,0,0,0,0
"CIAO2AP2",2,3,4,2,7,1,1,3,0,2,6,0
"CIAO2B",5145,3816,5552,2671,2370,2548,3287,4761,2584,3385,6175,2405
"CIAO3",1629,1397,2402,985,1301,829,2386,1528,1038,1390,1893,1095
"CIAPIN1",3069,2469,4768,2169,1100,1573,3645,2936,1617,2530,3687,1872
"CIAPIN1P",12,6,30,10,8,8,11,16,11,16,26,11
"CIART",722,403,233,280,661,635,423,345,446,196,888,172
"CIB1",3937,3044,3413,5924,1365,3019,2897,3225,2293,2896,5809,2386
"CIB2",1214,402,1466,614,590,340,1193,953,731,743,726,377
"CIB3",3,1,1,0,1,0,0,1,0,0,3,2
"CIB4",0,1,0,2,0,6,1,0,1,0,0,0
"CIBAR1",996,1026,1521,1437,659,1309,1677,1234,844,801,1913,522
