"","TCGA-06-0210-01A-01R-1849-01","TCGA-06-0190-01A-01R-1849-01","TCGA-06-0211-01B-01R-1849-01","TCGA-19-4065-02A-11R-2005-01","TCGA-14-1034-02B-01R-2005-01","TCGA-06-0190-02A-01R-2005-01","TCGA-06-0125-01A-01R-1849-01","TCGA-06-0211-02A-02R-2005-01","TCGA-06-0125-02A-11R-2005-01","TCGA-06-0210-02A-01R-2005-01","TCGA-19-4065-01A-01R-2005-01","TCGA-14-1034-01A-01R-1849-01"
"A1BG",59,16,103,37,18,19,91,97,40,35,73,6
"A1BG-AS1",153,69,240,114,27,71,287,206,253,116,237,15
"A1CF",0,2,0,0,0,0,1,0,1,1,0,1
"A2M",111118,112182,71787,46322,35048,120039,33131,74935,42300,113164,79707,195223
"A2M-AS1",66,45,28,69,16,42,35,21,21,53,48,44
"A2ML1",48,39,103,19,81,5,154,73,168,91,127,471
"A2ML1-AS1",0,0,0,0,0,0,0,1,0,1,0,0
"A2ML1-AS2",0,0,0,2,0,0,0,0,0,0,0,0
"A2MP1",8,12,7,10,7,6,6,10,0,7,24,5
"A3GALT2",56,8,11,4,5,11,9,10,6,17,14,3
"A4GALT",68,552,209,558,31,2033,335,289,1205,236,204,108
"A4GNT",4,4,1,14,5,6,8,0,9,5,21,1
"AAAS",2549,1930,3301,1817,1569,1490,3159,1981,1352,2134,2354,1595
"AACS",1332,1015,1132,1243,492,1105,1435,1002,1178,956,1097,729
"AACSP1",6,0,8,8,2,2,7,1,4,9,0,0
"AADAC",0,0,1,0,0,0,1,4,0,1,0,0
"AADACL2",0,0,0,0,0,0,0,0,0,0,0,0
"AADACL2-AS1",0,1,0,0,1,0,1,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0,0,0,0,0
"AADACP1",4,2,3,1,1,2,3,7,0,3,8,1
"AADAT",730,366,665,388,286,348,1011,434,325,587,564,222
"AAGAB",2152,2042,2952,3294,2651,1312,2402,2238,1767,1817,2840,2230
"AAK1",2444,1780,2360,4124,1185,2498,2363,1571,2918,2683,2778,1303
"AAMDC",525,402,650,448,408,397,582,555,568,609,882,582
"AAMP",6230,4597,6327,3747,4210,3987,6338,4271,4440,6431,5258,5288
"AANAT",31,74,25,37,8,36,31,10,12,27,59,8
"AAR2",2261,1990,3896,1885,1832,1696,3585,2702,1821,2468,2091,1798
"AARD",2,1,6,4,0,2,2,1,1,3,2,0
"AARS1",11611,9062,11882,7993,10071,7815,11634,6895,15971,11045,7399,7031
"AARS1P1",0,0,0,0,0,0,0,0,0,0,0,0
"AARS2",885,766,1291,853,734,717,1152,838,691,1094,637,844
"AARSD1",319,208,312,238,300,137,516,220,161,280,267,84
"AARSD1P1",15,8,13,18,8,6,26,5,8,11,14,13
"AASDH",767,543,812,378,853,469,793,595,829,620,792,518
"AASDHPPT",3640,2003,4318,2027,2982,1142,4157,3030,3175,2625,4716,2506
"AASS",1203,709,1743,550,1312,476,2017,732,1102,1044,1432,812
"AATBC",33,31,14,35,24,35,47,28,125,25,14,12
"AATF",2377,1646,2645,2188,2406,1755,2747,1791,2378,3800,1856,2071
"AATK",818,562,936,1508,281,591,619,432,953,2920,560,47
"ABALON",60,37,66,30,33,21,92,50,47,45,46,27
"ABAT",7985,5854,14539,2606,7543,387,14045,8011,8422,12869,5492,12170
"ABCA1",9640,6609,6334,6380,7813,6857,6106,9521,16126,6181,14598,7866
"ABCA10",31,37,8,43,8,93,89,14,22,14,67,3
"ABCA11P",57,52,160,58,22,29,141,86,35,51,100,40
"ABCA12",17,119,25,62,22,24,12,30,24,12,61,104
"ABCA13",344,522,16,69,75,320,29,325,106,191,190,303
"ABCA17P",93,52,43,84,39,15,109,47,72,53,158,46
"ABCA2",6088,5470,6595,9086,3653,2948,8816,3053,11455,16738,6086,3205
"ABCA3",5475,3865,9014,3546,2988,829,10194,3792,11209,7280,3957,5848
"ABCA4",25,67,47,85,9,106,29,46,18,23,30,21
"ABCA5",530,423,98,684,504,524,1536,101,953,450,731,676
"ABCA6",48,325,45,42,8,822,58,43,100,127,195,38
"ABCA7",297,537,437,556,454,425,465,501,227,522,305,684
"ABCA8",1159,1668,841,287,77,3926,1263,226,1509,1726,1823,1539
"ABCA9",30,182,44,78,21,451,68,45,47,77,98,22
"ABCA9-AS1",0,0,2,0,0,1,0,0,0,0,1,0
"ABCB1",295,559,1432,356,125,144,606,753,258,749,500,701
"ABCB10",1053,657,795,574,621,1018,1473,687,716,821,1325,344
"ABCB10P1",0,0,1,1,2,1,1,2,0,0,2,0
"ABCB10P3",1,0,0,0,0,1,1,0,2,1,2,0
"ABCB10P4",2,0,0,0,0,0,1,0,0,1,1,0
"ABCB11",3,7,0,1,0,2,0,0,0,1,4,10
"ABCB4",564,195,237,349,37,64,242,150,134,454,269,346
"ABCB5",18,6,9,2,3,6,4,0,6,6,8,2
"ABCB6",606,454,517,375,395,336,894,339,308,450,740,193
"ABCB7",1371,1232,1630,1045,2112,1072,1545,1260,1401,1271,2117,1231
"ABCB8",2770,2534,3923,1554,1443,1827,4465,2219,2850,3614,2597,1819
"ABCB9",776,922,1047,713,208,484,612,574,674,610,462,497
"ABCC1",1669,1434,989,2209,1000,2113,1528,1544,2414,2063,1516,1063
"ABCC10",1097,1003,1398,1049,750,822,2237,947,987,1038,917,736
"ABCC11",32,38,13,34,18,6,34,9,29,37,21,67
"ABCC12",4,1,4,18,5,8,1,7,7,4,4,1
"ABCC13",41,1,1,2,0,1,0,0,0,38,0,0
"ABCC2",39,25,26,33,19,49,39,10,13,26,33,5
"ABCC3",11810,8695,887,1968,1125,4323,6210,3341,3368,3825,8350,2559
"ABCC4",831,819,1222,536,368,911,1953,696,1414,1635,1028,1201
"ABCC5",1581,1951,3866,2330,1228,1851,3204,1990,1199,1757,3352,809
"ABCC5-AS1",0,2,1,1,0,0,0,0,0,1,1,1
"ABCC6",96,92,58,94,55,70,111,97,131,102,97,179
"ABCC6P1",44,73,86,11,75,4,12,92,11,7,61,43
"ABCC6P2",26,19,24,19,11,3,29,8,13,6,29,14
"ABCC8",60,267,71,355,156,6,875,126,796,51,313,115
"ABCC9",283,326,665,427,149,301,450,796,747,806,271,344
"ABCD1",1236,1232,915,2332,399,1465,1147,870,1247,1765,1297,1027
"ABCD1P2",0,1,1,1,1,0,0,0,0,0,1,1
"ABCD1P3",1,1,0,0,0,0,0,1,1,1,0,0
"ABCD1P4",0,0,0,0,0,1,1,1,0,0,0,0
"ABCD1P5",0,0,0,1,0,0,0,1,0,1,0,0
"ABCD2",243,109,1173,234,482,27,874,495,573,196,742,1064
"ABCD3",5010,4091,8568,1820,4916,2671,5227,4135,3932,4319,5266,5846
"ABCD4",3217,2938,4017,1744,1924,1805,3746,2768,1597,2406,3521,2244
"ABCE1",4300,3132,6384,3084,2711,3973,4866,3401,3339,3539,4933,2307
"ABCF1",4331,3581,4386,4420,3863,4322,5953,3450,4272,5612,2855,4446
"ABCF2",4848,5045,7548,3336,3334,4138,6474,4510,4271,6035,5941,3749
"ABCF2P1",10,7,8,10,5,6,8,8,4,12,10,7
"ABCF2P2",0,0,0,0,0,0,0,0,0,0,0,0
"ABCF3",2834,2514,3728,2442,2416,2517,3411,2453,2197,3496,3006,2135
"ABCG1",2086,1660,939,1051,397,2170,696,1551,2468,2468,2281,745
"ABCG2",542,577,6029,382,177,162,1702,1662,616,1314,1325,1763
"ABCG4",74,57,91,285,64,37,186,61,82,69,132,35
"ABCG5",5,8,6,6,1,6,14,4,4,5,13,3
"ABCG8",1,5,0,1,0,0,2,1,4,1,2,1
"ABHD1",180,70,51,29,44,15,145,50,45,87,174,64
"ABHD10",1449,1098,2374,1326,1280,1089,1879,1423,1355,1493,2073,800
"ABHD11",1484,1403,1774,637,516,871,1354,1044,742,1283,1477,680
"ABHD11-AS1",8,19,3,10,3,15,5,5,4,5,6,2
"ABHD12",5232,4995,7005,4823,3168,3357,4695,5179,4483,5926,5440,4008
"ABHD12B",66,44,42,145,23,69,52,32,49,66,72,23
"ABHD13",3630,942,1175,736,873,784,1103,1107,949,1420,1248,730
"ABHD14A",826,516,1569,794,354,496,878,743,518,896,1072,378
"ABHD14A-ACY1",26,12,26,17,13,5,29,12,16,12,25,4
"ABHD14B",2291,1430,1466,2802,1875,1407,844,1048,1071,1880,2030,1422
"ABHD15",852,682,811,543,607,936,769,697,786,1010,870,1014
"ABHD15-AS1",0,0,1,0,0,0,0,0,0,0,0,0
"ABHD16A",410,403,489,300,371,406,465,384,285,372,370,246
"ABHD16B",0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17A",2821,3804,5708,1873,1947,3334,5476,3588,2546,2856,2859,2086
"ABHD17AP1",24,40,53,25,19,27,31,34,21,28,29,11
"ABHD17AP3",6,8,23,10,8,12,18,10,13,13,17,10
"ABHD17AP4",5,8,11,0,4,4,9,4,7,4,6,3
"ABHD17AP5",4,10,14,6,3,9,14,8,5,4,6,3
"ABHD17AP6",24,24,28,7,9,18,17,28,14,41,68,4
"ABHD17AP7",0,0,0,0,0,0,0,0,0,0,1,0
"ABHD17AP8",0,0,0,0,0,0,1,0,0,0,0,0
"ABHD17AP9",0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17B",707,786,1533,827,943,584,1096,1058,767,962,1207,744
"ABHD17C",4851,1345,3178,950,1661,1086,3221,2159,2215,2459,4123,1140
"ABHD18",705,489,663,340,488,327,719,516,522,369,736,370
"ABHD2",6964,7406,12261,10777,4375,8231,18103,6034,16196,7543,6755,11015
"ABHD3",915,1141,1293,542,990,1045,683,982,502,854,1185,1184
"ABHD4",4422,4421,5961,1959,3744,3933,4369,3464,5410,5241,3904,5566
"ABHD5",1067,1135,1674,598,796,807,970,1166,974,803,1789,971
"ABHD6",1205,1301,1453,814,402,1224,975,992,857,1778,1402,725
"ABHD8",1256,1670,1759,989,1026,1472,1724,1709,1441,1228,1177,1514
"ABI1",3407,2930,3386,2732,3024,2872,2781,2699,3215,3431,4690,2466
"ABI1P1",0,1,0,0,0,0,1,0,0,0,0,2
"ABI2",7785,5613,12857,4529,5291,3331,11190,6101,6781,7108,8251,5702
"ABI3",1428,1402,1485,585,186,743,580,1646,563,2691,1876,1209
"ABI3BP",410,1015,128,190,126,2725,757,295,3992,1728,328,274
"ABITRAM",909,904,1426,1188,1296,623,1082,1237,1005,954,2395,1141
"ABITRAMP1",1,1,1,0,2,0,1,0,1,0,1,2
"ABL1",4384,5692,7758,6920,6644,8857,11174,5316,9022,6030,7243,7046
"ABL2",3216,3153,1574,3101,1482,7066,2267,1350,1945,2674,2586,902
"ABLIM1",3192,2402,8306,4341,2107,1758,8080,3761,9968,8486,3096,3964
"ABLIM2",205,196,356,736,131,101,278,249,379,387,280,251
"ABLIM3",1412,1428,980,1654,312,1475,352,858,684,4095,937,699
"ABO",13,42,30,36,11,18,82,23,32,65,27,8
"ABR",8334,7079,12981,10385,4965,4142,11234,7908,14656,14431,5977,10381
"ABRA",4,0,2,4,2,1,1,1,0,0,4,0
"ABRACL",687,778,613,879,213,898,599,1073,574,590,1514,458
"ABRAXAS1",370,211,446,184,234,296,377,257,234,239,468,139
"ABRAXAS2",831,691,947,904,670,779,779,760,634,968,1152,553
"ABT1",1555,1178,1543,1077,1142,1087,1164,1311,815,940,1275,724
"ABT1P1",1,0,0,0,1,1,1,0,0,0,0,0
"ABTB1",1391,1380,1659,1024,910,1635,1497,1261,873,1162,1183,767
"ABTB2",332,686,399,502,855,782,350,555,513,674,317,814
"ACAA1",3349,2660,4631,2185,1339,2059,3981,3301,2506,4160,4237,2231
"ACAA2",2757,3994,2650,2391,2240,3516,3313,2769,2633,2668,4196,5296
"ACACA",2324,2205,4809,3044,2462,1809,5727,1896,3933,4133,2538,3522
"ACACB",479,632,718,547,356,579,1153,381,880,697,636,513
"ACAD10",1325,1197,1680,1028,627,846,1939,922,1109,1260,1099,1126
"ACAD11",73,43,85,45,92,24,108,37,77,23,73,28
"ACAD8",2721,1630,3801,1021,1660,778,4610,2328,1601,2120,2684,1692
"ACAD9",1806,2000,2986,1783,1786,1704,2335,1853,1429,2433,2191,1812
"ACADL",152,75,18,19,53,2,197,22,103,175,31,193
"ACADM",3228,2431,3549,1220,3260,1850,3123,2351,2113,2990,4624,3500
"ACADS",1066,688,829,637,618,555,727,776,834,918,1027,1013
"ACADSB",928,572,841,850,586,517,856,477,806,759,1301,396
"ACADVL",12669,11496,9654,7535,6748,8783,16001,8476,7238,7897,11024,5461
"ACAN",135,292,65,139,28,1080,363,96,1735,1073,181,60
"ACAP1",353,331,115,311,299,421,252,200,241,250,464,242
"ACAP2",2188,1712,2776,1744,2289,2122,2675,1707,2730,2082,3203,1251
"ACAP2-IT1",7,1,7,15,9,4,15,8,17,8,18,2
"ACAP3",3680,4602,9832,2581,1799,3010,21541,3832,3392,4500,6130,1321
"ACAT1",2470,1721,3118,1776,2772,1184,3092,2633,3447,2780,5795,2681
"ACAT2",1057,1528,2719,903,835,1172,2505,1283,701,873,1302,1509
"ACBD3",3196,2519,2150,2306,3942,4483,2685,1881,3201,2552,4409,1270
"ACBD3-AS1",13,2,4,5,8,11,8,3,6,7,14,1
"ACBD4",959,607,542,430,618,245,578,454,390,476,853,434
"ACBD5",2956,1625,3000,1436,2717,1475,2229,2034,2871,2945,2483,2112
"ACBD6",2076,1764,2285,1487,1652,1779,2473,1733,1449,1803,2184,760
"ACBD7",49,45,92,78,236,25,206,58,126,71,252,321
"ACCS",563,620,551,784,374,462,546,404,154,280,1786,163
"ACCSL",0,0,1,0,4,1,1,1,0,0,0,0
"ACD",1397,1133,1830,829,1247,877,1883,1351,844,1190,1152,925
"ACE",273,1058,1733,913,119,1359,2523,1448,873,2195,627,613
"ACE2",12,9,6,4,8,6,8,4,10,3,15,36
"ACE3P",0,1,0,0,0,0,0,0,0,0,0,0
"ACER1",0,14,2,3,2,3,1,3,1,3,6,12
"ACER2",54,135,53,35,59,71,74,78,77,82,98,37
"ACER2P1",0,0,0,0,0,0,0,0,0,2,2,0
"ACER3",2603,2377,2975,1653,1679,1662,2309,2372,2248,2899,4500,2463
"ACHE",796,1693,636,477,426,560,650,1261,796,469,342,261
"ACIN1",7555,6418,7954,5521,5378,6550,10717,5135,4805,7191,6901,4118
"ACKR1",596,586,152,422,39,757,40,104,112,706,362,10
"ACKR2",72,53,53,14,20,37,30,54,39,130,50,61
"ACKR3",1464,2563,1670,773,286,7641,4410,2248,2919,3680,1443,584
"ACKR4",10,8,3,17,10,16,5,4,8,3,24,21
"ACKR4P1",1,3,6,2,0,0,1,7,3,3,9,1
"ACLY",12301,8267,16674,6144,11973,8479,15912,8980,16226,12153,5956,8327
"ACMSD",5,4,7,2,4,5,20,16,10,42,5,5
"ACNATP",1,0,0,0,0,0,0,0,0,1,0,0
"ACO1",1579,2613,3500,3309,3031,2632,3577,2248,3398,2231,3607,3076
"ACO2",5804,5739,7272,4120,2575,3994,8887,4339,10507,8361,4603,3017
"ACOD1",1,1,0,1,0,3,0,2,0,2,2,0
"ACOT1",163,344,272,298,184,272,192,174,148,122,449,332
"ACOT11",348,261,110,277,86,398,228,85,139,354,457,263
"ACOT12",30,26,16,2,17,35,37,17,9,15,46,1
"ACOT13",1174,989,824,1589,814,843,1195,965,1280,1106,1774,1197
"ACOT2",816,816,1209,636,695,713,973,809,714,717,958,718
"ACOT4",56,66,69,179,185,53,61,52,86,48,195,154
"ACOT6",5,2,2,2,9,1,3,6,3,2,1,3
"ACOT7",1211,1426,2405,3973,617,2065,1906,1467,1717,1632,2757,681
"ACOT8",1208,991,2213,928,816,749,1808,1729,845,1085,1281,832
"ACOT9",2150,2319,2357,2887,1393,2799,2416,2076,1523,1670,3782,1220
"ACOX1",3925,4241,4812,2623,4919,2814,4453,3625,4576,4611,3931,5628
"ACOX2",944,1054,414,447,76,512,797,287,512,760,835,464
"ACOX3",823,775,1296,680,372,577,1225,849,715,1067,764,645
"ACOXL",8,3,17,6,15,7,24,11,8,8,3,15
"ACOXL-AS1",11,4,7,6,12,7,27,9,18,11,2,27
"ACP1",3830,3305,3969,2639,3236,2233,3264,3730,2457,3236,4980,2902
"ACP2",4272,3591,4534,3111,2113,3739,4527,3705,3596,4152,4495,3657
"ACP3",185,137,74,188,16,127,49,158,94,229,270,154
"ACP4",7,11,17,3,52,5,31,11,12,3,4,20
"ACP5",300,614,107,1033,119,1199,148,530,137,743,1096,135
"ACP6",1211,1668,1024,585,490,895,1020,753,419,685,2463,312
"ACP7",9,9,5,59,4,56,2,2,24,6,14,2
"ACR",15,5,3,4,5,6,19,7,12,9,7,4
"ACRBP",104,160,63,76,39,96,114,69,93,120,175,109
"ACRP1",3,3,1,1,0,2,2,1,2,0,1,0
"ACRV1",24,13,13,22,14,10,27,9,22,15,52,21
"ACSBG1",1140,1344,4440,910,2519,325,3721,1080,2433,810,693,1346
"ACSBG2",11,13,19,3,30,4,37,9,9,7,15,15
"ACSF2",983,836,730,1101,809,652,1105,656,883,1113,1154,1331
"ACSF3",972,1024,1294,820,719,888,1599,891,907,1128,1045,796
"ACSL1",5764,5393,1882,2193,553,6518,1985,3619,4376,3741,4904,1935
"ACSL3",6147,6071,11684,4776,5749,4356,12268,5719,6971,3701,7735,5638
"ACSL3-AS1",11,3,7,4,11,0,9,9,11,2,17,8
"ACSL4",1751,1982,1452,4063,1220,4978,1710,2013,2399,2018,3824,1635
"ACSL5",456,427,498,536,100,816,294,590,344,793,789,463
"ACSL6",343,392,1247,1295,506,39,752,509,1151,1665,884,786
"ACSL6-AS1",14,29,15,16,24,2,25,15,30,34,35,20
"ACSM1",0,5,0,1,3,4,2,3,2,3,3,2
"ACSM2A",0,1,0,1,1,0,0,2,0,1,1,0
"ACSM2B",0,0,1,0,1,2,1,1,1,0,2,0
"ACSM3",34,32,17,103,21,17,28,31,17,44,52,20
"ACSM4",6,3,4,10,1,17,6,6,11,2,49,1
"ACSM5",304,350,163,269,13,104,75,270,156,768,344,76
"ACSM5P1",0,2,1,2,0,0,2,0,0,1,1,0
"ACSM6",0,0,0,0,3,0,8,0,4,0,0,2
"ACSS1",659,938,2886,747,1012,474,3191,1425,1091,2274,1029,1506
"ACSS2",1909,1796,2984,1136,1062,1993,2514,1933,1318,1871,1657,1754
"ACSS3",3169,3527,5181,1169,2895,1720,3741,3738,2440,1160,2056,4063
"ACTA1",151,75,54,65,25,38,71,63,66,79,28,19
"ACTA2",4097,8354,1678,21447,560,10154,7025,4838,14327,9307,3801,1816
"ACTA2-AS1",26,109,19,216,5,86,71,37,111,57,94,12
"ACTB",547528,457040,458045,376708,137098,438957,420787,398011,454116,483485,377346,316997
"ACTBL2",0,2,0,3,0,5,0,1,1,0,0,0
"ACTBP1",35,24,34,36,11,37,28,24,39,35,30,19
"ACTBP11",127,91,111,82,37,105,95,74,125,134,97,74
"ACTBP12",331,20,23,27,14,17,28,19,15,167,26,13
"ACTBP14",6,9,5,4,3,5,9,4,5,12,4,2
"ACTBP15",78,62,66,59,15,55,59,44,77,74,62,28
"ACTBP2",397,351,368,276,143,334,354,252,371,418,313,221
"ACTBP6",1,0,5,1,0,2,1,1,0,1,1,1
"ACTBP7",127,94,93,111,47,90,85,94,100,117,109,59
"ACTBP8",64,50,44,36,17,32,35,35,47,51,48,20
"ACTBP9",63,57,40,56,11,45,48,51,61,69,48,34
"ACTC1",99,114,64,139,18,22,56,65,226,87,85,39
"ACTE1P",1,3,2,1,0,1,2,2,0,1,8,0
"ACTG1",307985,196058,203094,193493,83817,223487,190908,186059,191117,201379,185169,139437
"ACTG1P1",119,32,46,37,33,21,37,20,49,84,65,19
"ACTG1P10",14,4,3,3,2,6,5,2,7,16,5,2
"ACTG1P11",9,3,4,5,1,11,9,7,9,13,9,2
"ACTG1P12",36,18,20,18,10,14,19,13,25,17,15,9
"ACTG1P13",0,0,0,2,1,0,1,0,0,0,0,0
"ACTG1P14",81,51,70,92,24,69,56,60,83,79,76,38
"ACTG1P15",10,4,6,6,3,4,8,4,5,9,11,7
"ACTG1P16",7,5,7,3,1,2,2,0,2,6,4,1
"ACTG1P17",26,29,23,61,55,7,63,18,10,11,76,17
"ACTG1P18",0,1,1,1,0,1,3,0,0,1,2,1
"ACTG1P19",17,12,15,7,2,14,16,9,19,20,22,10
"ACTG1P2",5,4,5,5,3,5,5,5,5,7,8,0
"ACTG1P20",118,54,55,44,24,53,48,54,66,62,48,27
"ACTG1P21",17,15,13,8,2,6,9,11,9,11,10,7
"ACTG1P22",0,0,1,0,0,6,0,1,0,0,1,0
"ACTG1P23",35,31,29,38,15,43,21,25,39,46,29,29
"ACTG1P24",25,10,12,5,6,3,14,7,9,14,9,14
"ACTG1P25",5,9,16,11,28,5,20,13,6,9,17,3
"ACTG1P3",16,6,10,19,11,9,25,6,11,17,9,7
"ACTG1P4",0,0,0,0,0,0,0,0,0,0,0,0
"ACTG1P9",154,43,45,37,27,57,44,36,46,95,55,35
"ACTG2",493,1635,310,1535,98,10960,386,255,2164,1394,485,112
"ACTL11P",4,1,0,1,0,0,1,1,1,0,0,0
"ACTL6A",2150,2252,5155,1843,3841,2513,2625,2723,1521,1870,3654,1771
"ACTL6B",29,127,209,670,137,4,175,697,187,142,142,12
"ACTL7A",0,0,0,0,0,0,0,0,3,0,0,0
"ACTL7B",1,0,0,2,0,0,1,0,0,0,0,0
"ACTL8",0,1,0,8,2,2,0,1,1,0,1,6
"ACTL9",0,1,0,0,0,0,0,0,0,0,0,0
"ACTN1",16785,25902,20423,29333,22070,40470,30251,21331,52057,22751,13309,23544
"ACTN1-DT",7,6,4,15,9,10,14,9,3,0,19,10
"ACTN2",2580,1103,2282,892,971,87,3188,1236,995,1521,1715,111
"ACTN3",4,2,1,10,24,5,12,3,3,1,6,2
"ACTN4",14593,27094,31045,16857,10870,24248,28086,17831,22949,20070,11028,21624
"ACTN4P1",20,35,37,33,17,32,38,19,20,24,18,23
"ACTN4P2",1,3,2,0,3,0,4,0,0,3,2,0
"ACTP1",4,0,1,0,2,2,1,0,3,0,0,1
"ACTR10",3595,2964,4115,2503,1201,2512,2098,3381,1701,2282,5609,1683
"ACTR1A",3820,4422,6147,8120,3121,5364,5176,5269,4679,7303,5628,3695
"ACTR1AP1",1,3,1,3,1,1,3,2,2,4,1,2
"ACTR1B",4342,3688,4390,4222,2482,2447,3125,3144,2517,2925,4767,2445
"ACTR2",11796,11769,13668,12008,9073,16634,14047,10763,15480,14715,15210,10696
"ACTR3",11367,12114,12049,9073,7808,13455,12271,11205,12193,12132,15399,7659
"ACTR3-AS1",29,40,5,28,27,7,36,21,67,5,42,24
"ACTR3B",1200,747,1308,599,1373,440,1296,848,891,806,1385,461
"ACTR3BP1",0,0,0,0,3,0,1,0,0,0,0,0
"ACTR3BP2",0,0,0,0,0,0,0,0,0,0,0,0
"ACTR3BP3",0,0,0,0,0,0,0,0,0,0,0,0
"ACTR3BP4",0,0,0,0,1,0,0,0,0,0,0,0
"ACTR3BP5",0,0,0,0,0,0,0,0,0,0,0,0
"ACTR3BP6",0,0,0,0,0,0,0,0,0,0,0,0
"ACTR3BP7",0,0,0,1,0,0,1,0,0,0,0,0
"ACTR3C",43,73,15,28,18,94,5,20,17,20,15,14
"ACTR3P2",3,4,4,4,3,7,3,5,6,5,12,1
"ACTR3P3",0,0,0,0,0,0,1,0,0,0,1,0
"ACTR5",495,399,726,347,388,397,842,632,227,522,597,350
"ACTR6",1574,875,1543,876,896,769,1463,1500,1204,1035,1899,1097
"ACTR6P1",0,0,0,0,0,0,0,0,0,0,0,0
"ACTR8",1530,1340,2587,1254,1547,1112,1620,1454,1110,1655,1848,1307
"ACTRT1",0,0,1,0,0,0,0,0,0,0,0,0
"ACTRT1P1",0,0,0,0,0,0,0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,0,0,0,0,0,0,0
"ACTRT3",22,25,5,39,3,29,10,15,7,18,37,3
"ACVR1",1913,1985,1584,2742,731,3129,1881,1425,1585,1801,2184,1535
"ACVR1B",3109,1929,2495,1887,1053,1105,2264,1961,2555,2379,2238,1602
"ACVR1C",12,28,106,539,37,27,20,57,93,21,28,47
"ACVR2A",689,572,787,513,494,723,859,584,577,652,810,335
"ACVR2B",566,304,708,485,805,338,818,442,702,771,536,355
"ACVR2B-AS1",92,57,80,39,156,41,46,43,66,30,97,68
"ACVRL1",492,1335,1727,1281,128,1818,1380,1510,566,1330,901,845
"ACY1",233,157,174,131,110,113,215,156,86,162,324,144
"ACY3",45,122,49,18,13,42,32,32,42,205,30,27
"ACYP1",314,160,425,258,683,138,363,284,102,260,477,162
"ACYP2",1462,1306,2359,917,785,503,1441,1923,1145,1532,2304,1806
"ADA",342,424,747,446,93,554,466,546,150,390,459,82
"ADA2",3859,5320,1025,1307,259,3789,679,1286,1873,5787,4130,1157
"ADAD1",0,0,0,0,0,0,1,0,1,0,0,0
"ADAD1P2",0,0,0,0,0,0,0,0,0,0,0,0
"ADAD2",10,19,79,111,26,6,21,20,16,14,33,7
"ADAL",647,335,928,361,795,350,742,562,468,519,320,469
"ADAM10",5347,4812,7563,3724,4633,5858,5939,5083,4963,4806,6173,4320
"ADAM11",202,159,597,606,300,63,560,245,365,303,257,121
"ADAM12",1969,3435,2269,7484,2021,7888,5590,1472,3272,1602,5394,1769
"ADAM15",3245,3007,2396,2956,1322,5094,4528,1559,2781,3739,4227,2533
"ADAM17",3617,2132,3487,1254,1822,1860,3054,1975,3112,2936,2062,2283
"ADAM18",0,0,0,0,0,1,0,0,0,0,0,0
"ADAM19",1264,1555,5314,3478,805,2875,6317,1794,1045,1111,1764,415
"ADAM1A",0,0,0,0,0,0,0,0,0,0,0,0
"ADAM1B",13,2,15,8,8,2,9,11,7,12,4,4
"ADAM2",0,0,0,0,1,0,0,0,0,0,0,0
"ADAM20",5,2,5,0,1,6,5,3,2,2,4,1
"ADAM20P1",33,30,12,18,17,20,34,13,8,19,45,4
"ADAM20P2",1,0,1,0,0,0,1,1,0,0,0,4
"ADAM20P3",0,0,0,0,0,0,0,0,0,0,0,0
"ADAM21",29,28,24,35,25,17,35,24,36,18,25,53
"ADAM21P1",0,0,3,3,1,0,3,2,1,2,1,5
"ADAM22",977,1147,2619,1593,3011,429,3541,1377,2933,1670,1446,1763
"ADAM23",1386,1748,3592,1759,653,271,4429,2731,4779,2276,3019,999
"ADAM24P",0,0,0,0,0,0,0,0,0,0,0,0
"ADAM28",2066,975,762,498,152,1208,439,1276,689,2215,1642,726
"ADAM29",0,0,1,1,0,2,2,0,0,3,0,0
"ADAM30",0,0,0,0,0,0,1,1,0,0,0,1
"ADAM32",183,166,105,64,21,68,244,74,71,69,128,9
"ADAM33",1099,947,1490,131,77,2673,2348,1505,199,297,143,37
"ADAM3A",0,0,1,0,0,0,0,0,0,0,0,0
"ADAM3B",0,0,0,1,0,1,0,0,0,0,0,0
"ADAM5",0,0,1,2,0,0,4,0,1,0,4,0
"ADAM6",0,0,0,0,0,0,0,0,0,0,0,0
"ADAM7",0,1,0,1,0,0,0,0,0,0,0,0
"ADAM8",2488,1450,121,1403,355,3714,917,867,1342,885,4635,492
"ADAM9",25812,19591,23227,8009,7385,18501,13849,13735,14287,13089,17772,10200
"ADAMDEC1",58,312,140,145,64,282,15,232,22,87,467,35
"ADAMTS1",4422,9674,2030,2979,854,21956,2345,2541,2783,3191,1403,2101
"ADAMTS10",925,1626,1390,536,399,1433,2480,1474,942,865,743,351
"ADAMTS12",436,734,158,1410,75,1529,109,552,202,640,309,136
"ADAMTS13",181,427,259,544,420,193,783,175,219,192,635,183
"ADAMTS14",552,1653,280,6587,62,3920,613,746,170,314,2522,123
"ADAMTS15",522,1446,709,294,1028,863,1374,603,1168,1070,662,855
"ADAMTS16",62,107,23,469,36,435,27,7,43,258,24,8
