"","TCGA-26-5133","TCGA-HT-7902","TCGA-VM-A8CF","TCGA-14-1823","TCGA-DU-6393","TCGA-HT-7601","TCGA-14-0789","TCGA-28-2499","TCGA-02-2483","TCGA-TQ-A7RW","TCGA-DU-A6S8","TCGA-32-1970","TCGA-28-5204","TCGA-HT-7480","TCGA-DU-7010"
"HARS2",848,2029,892,758,2292,1476,1040,1376,1219,1419,1508,1393,1217,1861,1746
"HAS1",9,61,66,3,8,19,21,9,8,7,2,3,2,44,4
"HAS2",328,405,122,1013,49,443,2716,166,2435,452,26,296,612,392,3851
"HAS2-AS1",51,94,109,314,44,118,39,88,276,149,16,58,76,132,375
"HAS3",368,250,29,177,227,112,541,331,760,168,191,223,67,209,837
"HASPIN",146,36,3,20,148,47,18,12,427,41,22,117,205,14,147
"HAT1",2578,2621,882,3108,2356,2657,1379,2958,3295,1743,1592,2338,3851,2282,4103
"HAUS1",459,591,507,1368,642,777,434,1373,3734,486,607,905,1658,622,1839
"HAUS1P1",2,1,0,5,0,0,1,3,12,1,0,6,4,0,4
"HAUS1P2",0,0,1,0,0,1,0,1,7,1,0,0,2,2,1
"HAUS1P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HAUS2",1237,1578,165,1492,1267,1622,978,993,1029,835,1111,1243,1821,1382,2060
"HAUS3",720,1078,350,327,1751,687,365,602,1003,651,551,692,736,1081,1574
"HAUS4",289,250,216,516,830,417,291,299,502,480,452,398,522,579,356
"HAUS4P1",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"HAUS5",1347,1899,586,698,1253,918,606,1288,1271,846,1128,2988,1038,822,1297
"HAUS6",2767,2529,504,937,3096,2467,1170,1658,1317,1290,1029,1295,1061,2746,7158
"HAUS6P1",30,29,1,8,48,44,29,28,8,14,13,23,22,34,115
"HAUS6P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HAUS6P3",22,1,5,7,2,20,3,13,7,9,1,6,25,0,6
"HAUS7",58,88,13,54,790,21,21,27,15,232,29,142,16,57,18
"HAUS8",505,267,127,180,491,261,233,200,1078,200,368,571,731,231,773
"HAUS8P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HAVCR1",3,5,1,1,4,4,1,4,0,8,0,1,2,1,2
"HAVCR2",601,1332,2447,3617,321,5120,2711,1603,2520,2162,430,1385,2077,761,1439
"HAX1",5167,4167,3557,7023,6145,3474,1808,6582,6090,2273,4195,3573,4149,3891,4910
"HBA1",199,36,20,130,6,10,99,54,3470,8,13,222,132,8,29
"HBA2",1203,4514,558,954,505,361,454,600,20767,312,501,1745,1322,230,1454
"HBB",6534,17329,826,9105,1935,1935,2044,3750,95257,865,2060,8189,10066,690,8806
"HBBP1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"HBD",3,10,0,7,1,2,2,5,45,2,1,3,9,2,3
"HBE1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HBEGF",1953,1905,438,703,1065,1037,1697,523,959,559,1202,645,911,749,657
"HBG1",2,0,0,1,0,0,6,1,8,0,0,4,1,0,0
"HBG2",1,0,0,1,0,0,1,0,6,1,0,1,0,0,0
"HBM",2,4,1,0,1,0,0,1,37,0,0,1,1,0,1
"HBP1",0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
"HBQ1",18,41,17,2,6,6,2,2,25,6,10,16,3,11,21
"HBS1L",3297,7082,1120,1616,4284,3114,1885,1301,3357,1427,2304,1997,1327,3641,4963
"HBZ",1,7,9,1,4,1,0,7,6,6,1,6,1,3,0
"HBZP1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"HCAR1",18,42,1,31,65,12,16,17,75,15,28,48,55,41,42
"HCAR2",6,2,3,62,0,11,74,4,7,1,3,3,2,1,1
"HCAR3",1,1,0,6,0,0,11,1,3,0,1,1,1,0,0
"HCCAT5",1,6,4,2,0,4,0,2,3,2,3,3,1,1,8
"HCCS",1291,675,275,1275,1055,831,670,1324,1105,530,722,806,1280,868,1874
"HCFC1",7704,9216,2247,1106,16547,7364,4626,4209,7215,6645,7715,7276,4725,10568,12354
"HCFC1-AS1",1,6,2,24,16,6,4,23,3,3,10,11,3,10,7
"HCFC1R1",1782,2654,3918,1649,3083,2813,917,2916,2114,1297,2547,1449,685,1884,3155
"HCFC2",1189,2126,394,1506,3318,1818,733,1489,932,1684,1805,998,1958,2541,1973
"HCFC2P1",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"HCG11",60,852,120,78,120,473,543,62,118,310,81,1613,452,282,275
"HCG14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HCG15",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"HCG17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HCG18",12,307,3,4,139,5,76,5,161,98,12,7,62,182,8
"HCG20",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HCG21",1,0,0,2,0,0,0,6,0,0,0,0,2,0,0
"HCG22",1,49,46,2,0,28,0,8,1,64,0,59,33,15,13
"HCG24",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"HCG25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HCG27",17,17,1,2,32,1,0,3,0,5,0,7,8,9,0
"HCG4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"HCG4B",0,1,2,0,0,0,1,0,0,3,0,6,1,0,0
"HCG4P8",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"HCG9",0,0,0,0,2,0,0,0,1,0,0,2,0,2,4
"HCK",458,899,1480,1440,282,5178,1757,971,1450,818,287,577,753,496,912
"HCLS1",1343,1839,3861,2606,1658,11651,5675,1935,3924,4476,660,3530,3163,1027,2417
"HCN1",29,335,37,22,178,206,2,42,129,36,117,254,32,886,247
"HCN2",794,9623,1065,69,3356,3772,673,266,1067,1259,2510,1182,347,3724,3654
"HCN3",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"HCN4",22,41,35,23,178,72,3,37,206,33,105,65,15,317,42
"HCP5",0,0,0,27,1,2,3,11,1,3,0,2,5,0,2
"HCRT",1,2,5,1,2,0,1,3,4,1,1,2,1,0,3
"HCRTR1",1,10,5,2,12,18,0,1,6,6,9,31,5,53,14
"HCRTR2",1,13,2,0,1,5,0,0,1,1,3,1,0,13,7
"HCST",29,16,142,124,6,46,103,74,67,38,3,38,57,5,12
"HDAC1",4269,4496,2444,3687,1874,2756,3064,3637,4297,3035,1349,4157,5016,2038,5590
"HDAC10",40,77,37,16,118,18,29,11,49,73,120,65,19,69,28
"HDAC11",852,15341,3884,489,2444,5707,779,1784,1073,2880,3180,1175,1135,4721,3792
"HDAC11-AS1",2,2,0,0,2,2,0,2,3,1,2,0,1,3,1
"HDAC1P1",0,2,0,0,1,5,1,0,0,0,0,1,3,0,5
"HDAC1P2",5,3,0,0,9,5,2,1,1,8,3,6,2,27,6
"HDAC2",7086,5811,1311,2218,7849,4861,2518,1629,15907,3484,5215,3446,2640,5325,12380
"HDAC2-AS2",123,418,31,24,327,178,11,12,52,109,96,39,17,259,204
"HDAC3",1438,1799,1409,3108,2849,1765,2178,3324,2396,1736,1780,2414,3321,2116,2566
"HDAC4",1684,5152,978,801,20689,1999,1336,665,1604,2801,5509,1973,1073,12659,5079
"HDAC4-AS1",39,56,201,10,34,15,9,80,31,25,14,26,13,17,49
"HDAC5",6621,10824,4204,1051,12002,5942,2734,3504,5133,5613,8858,4073,3321,9359,5335
"HDAC6",3816,8711,2064,1851,10802,5093,2629,3072,2589,5297,6790,5953,2896,9319,5657
"HDAC7",878,3404,1364,1904,1816,2557,3308,2674,2053,2005,1349,2582,2600,2164,2555
"HDAC8",369,643,295,245,862,345,211,251,524,500,590,432,340,784,510
"HDAC9",1739,1548,354,793,1954,1059,1320,1440,1671,1828,4423,1713,2407,2899,1368
"HDC",10,3,1,3,1,3,2,7,15,31,0,44,0,2,6
"HDDC2",4500,3651,2811,2900,4515,2807,1527,1839,4687,1795,4688,1899,1844,4466,3922
"HDDC3",340,356,250,238,81,147,200,657,268,210,223,233,247,223,179
"HDGF",28250,13138,11155,10675,19636,10822,9005,11491,30549,8783,11789,9711,11360,11048,33952
"HDGFL1",4,0,0,0,1,1,0,0,0,1,0,1,0,2,4
"HDGFL2",4944,5667,4439,732,11676,4016,2956,2231,4958,3992,6458,5393,3224,5559,6302
"HDGFL3",3845,5973,1409,2151,4735,5400,1395,2907,7413,3819,5487,2642,3789,5724,8117
"HDGFP1",13,30,0,3,52,51,7,12,11,25,2,7,16,0,0
"HDHD2",24,81,15,39,98,46,38,38,52,72,74,43,39,87,50
